smzl
72
52
67
66
55
67
92
72
65
30
60
80
55
72
60
65
72
40
80
65
62
62
45
40
61
40
25
57
72
62
45
50
45
35
30
45
72
35
45
45
35
35
35
52
65
72
62
52
52
72
50
15
45
45
72
45
47
72
60
72
65
53
30
35
45
57
47
25
87
50
65
30
57
57
57
60
92
52
25
66
52
57
52
40
40
57
10
81
67
45
60
62
85
45
52
65
52
55
40
40
65
45
75
55
57
50
45
55
57
30
82
65
40
77
45
55
72
25
